coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,reweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_screen_name,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
,Mon Jan 14 20:11:06 +0000 2019,,,,0,1084905770498617345,,,,en,,,4501,1084863262661984256,ezralevin,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @ezralevin: We're hearing the same thing - Trump is mobilizing his people to barrage the senate with pro-wall calls. If you want a budge…,https://twitter.com/AOC/status/1084905770498617345,Wed Apr 28 22:38:40 +0000 2010,AOC,false,"Congresswoman for NY-14 (the Bronx + Queens). 💯% People-Funded. In a modern, moral, and wealthy society, no American should be too poor to live.",10215,2430981,1363,7883,"Bronx + Queens, NYC",Alexandria Ocasio-Cortez,AOC,6661,,http://www.Ocasio2018.com/,true
,Wed Jan 16 18:06:58 +0000 2019,,,,2712,1085599303878496263,AOC,1085598277947609100,138203134,en,,,404,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Activists zoomed in on one place in particular: the Financial Services Committee, which deals with big banks, real estate, and almost every interaction people have in dealing with their own money.

What they found was a place where big bank lobbyists were slipping in their work.",https://twitter.com/AOC/status/1085599303878496263,Wed Apr 28 22:38:40 +0000 2010,AOC,false,"Congresswoman for NY-14 (the Bronx + Queens). 💯% People-Funded. In a modern, moral, and wealthy society, no American should be too poor to live.",10215,2430981,1363,7883,"Bronx + Queens, NYC",Alexandria Ocasio-Cortez,AOC,6661,,http://www.Ocasio2018.com/,true
,Mon Jan 14 14:55:59 +0000 2019,,,,0,1084826468285366274,,,,en,,,562,1084825452127141888,sahilkapur,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @sahilkapur: Key to understanding new House liberals is the Overton window; they’re not here to cut deals, they want to stretch percepti…",https://twitter.com/AOC/status/1084826468285366274,Wed Apr 28 22:38:40 +0000 2010,AOC,false,"Congresswoman for NY-14 (the Bronx + Queens). 💯% People-Funded. In a modern, moral, and wealthy society, no American should be too poor to live.",10215,2430981,1363,7883,"Bronx + Queens, NYC",Alexandria Ocasio-Cortez,AOC,6661,,http://www.Ocasio2018.com/,true
,Sun Jan 13 16:49:58 +0000 2019,,,,16314,1084492761963905024,AOC,1084490772840366100,138203134,en,,,1212,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","You’d say “that’s cool, but not the same thing as this very crucial electorate, maybe hire someone from the Midwest w/ intimate understanding” and they just throw their hands up and say “now you’re calling me racist?”

It’s like that ??? meme but reading the newspaper every day",https://twitter.com/AOC/status/1084492761963905024,Wed Apr 28 22:38:40 +0000 2010,AOC,false,"Congresswoman for NY-14 (the Bronx + Queens). 💯% People-Funded. In a modern, moral, and wealthy society, no American should be too poor to live.",10215,2430981,1363,7883,"Bronx + Queens, NYC",Alexandria Ocasio-Cortez,AOC,6661,,http://www.Ocasio2018.com/,true
,Thu Jan 10 22:39:05 +0000 2019,,,,0,1083493460114632704,,,,en,,,3147,1083485923147505666,sahilkapur,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @sahilkapur: .@AOC urges Democrats not to give ""an inch"" in exchange for re-opening the government or the president will keep using shut…",https://twitter.com/AOC/status/1083493460114632704,Wed Apr 28 22:38:40 +0000 2010,AOC,false,"Congresswoman for NY-14 (the Bronx + Queens). 💯% People-Funded. In a modern, moral, and wealthy society, no American should be too poor to live.",10215,2430981,1363,7883,"Bronx + Queens, NYC",Alexandria Ocasio-Cortez,AOC,6661,,http://www.Ocasio2018.com/,true
,Fri Jan 11 04:09:21 +0000 2019,PatriarchyInAction,,https://twitter.com/ma_franks/status/1083398572572332032,85850,1083576572672651264,,,,en,,false,17468,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","What blows my mind is how GOP would think a *fake* nude photo is worse than *actual* sexual assault.

We’ve seen in the past that Republicans are fine w/ their own members committing sexual assault. Yet they believe a nude should end a woman’s career? #PatriarchyInAction https://t.co/zSQK4ohKuO",https://twitter.com/AOC/status/1083576572672651264,Wed Apr 28 22:38:40 +0000 2010,AOC,false,"Congresswoman for NY-14 (the Bronx + Queens). 💯% People-Funded. In a modern, moral, and wealthy society, no American should be too poor to live.",10215,2430981,1363,7883,"Bronx + Queens, NYC",Alexandria Ocasio-Cortez,AOC,6661,,http://www.Ocasio2018.com/,true
,Sun Jan 13 04:24:42 +0000 2019,,,,2934,1084305213119496192,mcwm,1084300584700792800,15535595,en,,,77,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@mcwm Y’all, I don’t believe he was being condescending. It was a genuine response 💜",https://twitter.com/AOC/status/1084305213119496192,Wed Apr 28 22:38:40 +0000 2010,AOC,false,"Congresswoman for NY-14 (the Bronx + Queens). 💯% People-Funded. In a modern, moral, and wealthy society, no American should be too poor to live.",10215,2430981,1363,7883,"Bronx + Queens, NYC",Alexandria Ocasio-Cortez,AOC,6661,,http://www.Ocasio2018.com/,true
,Mon Jan 14 20:55:00 +0000 2019,,,,0,1084916816932163589,,,,en,,,847,1084913219129565186,RobGMacfarlane,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @RobGMacfarlane: ""Climate change tells is there is no time to waste. But history tells us that social change works in indirect and unpre…",https://twitter.com/AOC/status/1084916816932163589,Wed Apr 28 22:38:40 +0000 2010,AOC,false,"Congresswoman for NY-14 (the Bronx + Queens). 💯% People-Funded. In a modern, moral, and wealthy society, no American should be too poor to live.",10215,2430981,1363,7883,"Bronx + Queens, NYC",Alexandria Ocasio-Cortez,AOC,6661,,http://www.Ocasio2018.com/,true
,Tue Jan 15 04:25:50 +0000 2019,,,https://twitter.com/alivelshi/status/1084978928031281153,75029,1085030271697731584,,,,en,,false,10533,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Tonight, Rep. Steve King was stripped of all his committee assignments for his embrace of white supremacy.

He will not serve on a single committee for the next 2 years of the 116th Congress.

Committee assignments are powerful. Members spend years working for their desired spot. https://t.co/WLkH2os8Pw",https://twitter.com/AOC/status/1085030271697731584,Wed Apr 28 22:38:40 +0000 2010,AOC,false,"Congresswoman for NY-14 (the Bronx + Queens). 💯% People-Funded. In a modern, moral, and wealthy society, no American should be too poor to live.",10215,2430981,1363,7883,"Bronx + Queens, NYC",Alexandria Ocasio-Cortez,AOC,6661,,http://www.Ocasio2018.com/,true
,Wed Jan 16 20:03:32 +0000 2019,WheresMitch,,https://twitter.com/seungminkim/status/1085622989113184258,15670,1085628641592201216,,,,und,,false,2804,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",#WheresMitch https://t.co/b9634y13MK,https://twitter.com/AOC/status/1085628641592201216,Wed Apr 28 22:38:40 +0000 2010,AOC,false,"Congresswoman for NY-14 (the Bronx + Queens). 💯% People-Funded. In a modern, moral, and wealthy society, no American should be too poor to live.",10215,2430981,1363,7883,"Bronx + Queens, NYC",Alexandria Ocasio-Cortez,AOC,6661,,http://www.Ocasio2018.com/,true
,Sun Jan 13 21:06:53 +0000 2019,,,https://twitter.com/nytmetro/status/1084548917633736704,19886,1084557417776586752,,,,en,,false,1986,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Is it weird that I love that this is posted by the NYT Metro account?

You can take the girl out of the BX, but you can’t take the BX out of the girl 🥰 https://t.co/ESnszBHXrs",https://twitter.com/AOC/status/1084557417776586752,Wed Apr 28 22:38:40 +0000 2010,AOC,false,"Congresswoman for NY-14 (the Bronx + Queens). 💯% People-Funded. In a modern, moral, and wealthy society, no American should be too poor to live.",10215,2430981,1363,7883,"Bronx + Queens, NYC",Alexandria Ocasio-Cortez,AOC,6661,,http://www.Ocasio2018.com/,true
,Mon Jan 14 23:05:34 +0000 2019,,,https://twitter.com/uclagymnastics/status/1084325320935657472,96477,1084949675755667457,,,,en,,false,10389,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This UCLA performance alone is reason enough to make public colleges tuition-free 💪🏽🇺🇸 https://t.co/SNK5c3LCMg,https://twitter.com/AOC/status/1084949675755667457,Wed Apr 28 22:38:40 +0000 2010,AOC,false,"Congresswoman for NY-14 (the Bronx + Queens). 💯% People-Funded. In a modern, moral, and wealthy society, no American should be too poor to live.",10215,2430981,1363,7883,"Bronx + Queens, NYC",Alexandria Ocasio-Cortez,AOC,6661,,http://www.Ocasio2018.com/,true
,Sun Jan 13 04:18:45 +0000 2019,,,https://twitter.com/danielschuman/status/1084302688421142528,13033,1084303715773886466,,,,en,,false,1102,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Tired: AOC Instagram Live notifications

Wired: AOC Legislative action notifications https://t.co/qDpa40TSYK",https://twitter.com/AOC/status/1084303715773886466,Wed Apr 28 22:38:40 +0000 2010,AOC,false,"Congresswoman for NY-14 (the Bronx + Queens). 💯% People-Funded. In a modern, moral, and wealthy society, no American should be too poor to live.",10215,2430981,1363,7883,"Bronx + Queens, NYC",Alexandria Ocasio-Cortez,AOC,6661,,http://www.Ocasio2018.com/,true
,Fri Jan 11 16:17:21 +0000 2019,,,https://twitter.com/cristobaljalex/status/1083709582621454341,136087,1083759782098583553,,,,en,,false,22315,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",To quote Alan Moore: “None of you understand. I'm not locked up in here with YOU. You're locked up in here with ME.” 🤣 https://t.co/8TCmKNJlkD,https://twitter.com/AOC/status/1083759782098583553,Wed Apr 28 22:38:40 +0000 2010,AOC,false,"Congresswoman for NY-14 (the Bronx + Queens). 💯% People-Funded. In a modern, moral, and wealthy society, no American should be too poor to live.",10215,2430981,1363,7883,"Bronx + Queens, NYC",Alexandria Ocasio-Cortez,AOC,6661,,http://www.Ocasio2018.com/,true
,Tue Jan 15 03:28:41 +0000 2019,GreenNewDeal,https://twitter.com/AOC/status/1085015890431799296/photo/1,,5438,1085015890431799296,,,,pt,,false,489,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",AOC(NY) + @chelliepingree(ME) = #GreenNewDeal (USA) 💚 https://t.co/6j9TObK5Cx,https://twitter.com/AOC/status/1085015890431799296,Wed Apr 28 22:38:40 +0000 2010,AOC,false,"Congresswoman for NY-14 (the Bronx + Queens). 💯% People-Funded. In a modern, moral, and wealthy society, no American should be too poor to live.",10215,2430981,1363,7883,"Bronx + Queens, NYC",Alexandria Ocasio-Cortez,AOC,6661,,http://www.Ocasio2018.com/,true
